% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-28 T 06:21:23 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -2.5702550985e-02, 4.9999965819e+00
1.0000000000e-03, -3.7323225555e-02, 4.9999965819e+00
2.0000000000e-03, -4.6587749577e-02, 4.9999965819e+00
3.0000000000e-03, -5.6817745055e-02, 4.9999965819e+00
4.0000000000e-03, -4.5902414917e-02, 4.9999965819e+00
5.0000000000e-03, -3.0369830096e-02, 4.9999965819e+00
6.0000000000e-03, -1.9714626982e-02, 4.9999965819e+00
7.0000000000e-03, -2.8008677105e-02, 4.9999965819e+00
8.0000000000e-03, -4.4046508647e-02, 4.9999965819e+00
9.0000000000e-03, -3.2856044156e-02, 4.9999965819e+00
1.0000000000e-02, -2.3166312498e-02, 4.9999965819e+00
1.1000000000e-02, -9.9798733390e-03, 4.9999965819e+00
1.2000000000e-02, -1.5102374742e-02, 4.9999965819e+00
1.3000000000e-02, -2.8533933597e-02, 4.9999965819e+00
1.4000000000e-02, -4.4656806665e-02, 4.9999965819e+00
1.5000000000e-02, -3.8828960831e-02, 4.9999965819e+00
1.6000000000e-02, -2.7313337559e-02, 4.9999965819e+00
1.7000000000e-02, -2.9369341541e-02, 4.9999965819e+00
1.8000000000e-02, -3.8453777623e-02, 4.9999965819e+00
1.9000000000e-02, -5.1835312050e-02, 4.9999965819e+00
2.0000000000e-02, -5.3991364886e-02, 4.9999965819e+00
2.1000000000e-02, -4.2935966350e-02, 4.9999965819e+00
2.2000000000e-02, -2.6933151908e-02, 4.9999965819e+00
2.3000000000e-02, -2.3941691128e-02, 4.9999965819e+00
2.4000000000e-02, -3.5587377912e-02, 4.9999965819e+00
2.5000000000e-02, -4.3416200857e-02, 4.9999965819e+00
2.6000000000e-02, -3.2255751023e-02, 4.9999965819e+00
2.7000000000e-02, -2.2916190359e-02, 4.9999965819e+00
2.8000000000e-02, -1.3026360990e-02, 4.9999965819e+00
2.9000000000e-02, -2.2796131732e-02, 4.9999965819e+00
3.0000000000e-02, -3.8388745867e-02, 4.9999965819e+00
3.1000000000e-02, -4.6302610339e-02, 4.9999965819e+00
3.2000000000e-02, -3.5817490279e-02, 4.9999965819e+00
3.3000000000e-02, -2.2110797072e-02, 4.9999965819e+00
3.4000000000e-02, -3.2370807206e-02, 4.9999965819e+00
3.5000000000e-02, -4.0829937941e-02, 4.9999965819e+00
3.6000000000e-02, -5.5116914511e-02, 4.9999965819e+00
3.7000000000e-02, -4.9219034478e-02, 4.9999965819e+00
3.8000000000e-02, -3.6978057004e-02, 4.9999965819e+00
3.9000000000e-02, -2.1225364701e-02, 4.9999965819e+00
4.0000000000e-02, -2.7248305803e-02, 4.9999965819e+00
4.1000000000e-02, -4.0939991683e-02, 4.9999965819e+00
4.2000000000e-02, -3.7078105859e-02, 4.9999965819e+00
4.3000000000e-02, -2.7588471912e-02, 4.9999965819e+00
4.4000000000e-02, -1.3241466029e-02, 4.9999965819e+00
4.5000000000e-02, -1.2010865106e-02, 4.9999965819e+00
4.6000000000e-02, -2.3701573875e-02, 4.9999965819e+00
4.7000000000e-02, -4.1545287258e-02, 4.9999965819e+00
4.8000000000e-02, -4.2585795356e-02, 4.9999965819e+00
4.9000000000e-02, -3.0925101244e-02, 4.9999965819e+00
5.0000000000e-02, -2.2440958295e-02, 4.9999965819e+00
5.1000000000e-02, -3.8128618842e-02, 4.9999965819e+00
5.2000000000e-02, -4.7343118436e-02, 4.9999965819e+00
5.3000000000e-02, -5.4526626263e-02, 4.9999965819e+00
5.4000000000e-02, -4.4046508647e-02, 4.9999965819e+00
5.5000000000e-02, -2.9464387953e-02, 4.9999965819e+00
5.6000000000e-02, -2.0770142408e-02, 4.9999965819e+00
5.7000000000e-02, -2.9974637117e-02, 4.9999965819e+00
5.8000000000e-02, -4.3276132459e-02, 4.9999965819e+00
5.9000000000e-02, -3.1935594685e-02, 4.9999965819e+00
6.0000000000e-02, -2.5042228539e-02, 4.9999965819e+00
6.1000000000e-02, -1.2050884648e-02, 4.9999965819e+00
6.2000000000e-02, -1.7143371395e-02, 4.9999965819e+00
6.3000000000e-02, -2.9714510092e-02, 4.9999965819e+00
6.4000000000e-02, -4.4656806665e-02, 4.9999965819e+00
6.5000000000e-02, -3.8578838692e-02, 4.9999965819e+00
6.6000000000e-02, -2.4602013575e-02, 4.9999965819e+00
6.7000000000e-02, -2.7403381529e-02, 4.9999965819e+00
6.8000000000e-02, -3.7968540673e-02, 4.9999965819e+00
6.9000000000e-02, -5.0024427765e-02, 4.9999965819e+00
7.0000000000e-02, -5.4221477254e-02, 4.9999965819e+00
7.1000000000e-02, -4.0544798703e-02, 4.9999965819e+00
7.2000000000e-02, -2.3776610517e-02, 4.9999965819e+00
7.3000000000e-02, -2.3781612959e-02, 4.9999965819e+00
7.4000000000e-02, -3.5002092107e-02, 4.9999965819e+00
7.5000000000e-02, -4.0960001454e-02, 4.9999965819e+00
7.6000000000e-02, -2.7273318017e-02, 4.9999965819e+00
7.7000000000e-02, -1.7953767125e-02, 4.9999965819e+00
7.8000000000e-02, -1.0420088303e-02, 4.9999965819e+00
7.9000000000e-02, -2.0234881031e-02, 4.9999965819e+00
8.0000000000e-02, -3.4286742790e-02, 4.9999965819e+00
8.1000000000e-02, -4.4161564831e-02, 4.9999965819e+00
8.2000000000e-02, -3.5252214246e-02, 4.9999965819e+00
8.3000000000e-02, -2.3011236772e-02, 4.9999965819e+00
8.4000000000e-02, -3.2550895146e-02, 4.9999965819e+00
8.5000000000e-02, -4.0464759619e-02, 4.9999965819e+00
