% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-28 T 06:04:55 +1000
% Time (s), Input 1 (V), Input 2 (V)
9.1000000000e-02, -3.6617881124e-02, 4.5471354423e+00
9.2000000000e-02, -4.6647778890e-02, 4.5474105766e+00
9.3000000000e-02, -5.9203910259e-02, 4.5473205327e+00
9.4000000000e-02, -5.2330553885e-02, 4.5474956182e+00
9.5000000000e-02, -3.9459268621e-02, 4.5489513290e+00
9.6000000000e-02, -2.9144231616e-02, 4.5487712411e+00
9.7000000000e-02, -3.8113611514e-02, 4.5482059650e+00
9.8000000000e-02, -4.9704271427e-02, 4.5481659455e+00
9.9000000000e-02, -3.7798457619e-02, 4.5475506450e+00
1.0000000000e-01, -2.8834080164e-02, 4.5474906157e+00
1.0100000000e-01, -1.2941319463e-02, 4.5485761458e+00
1.0200000000e-01, -1.4557108479e-02, 4.5481559406e+00
1.0300000000e-01, -2.6217802591e-02, 4.5489913485e+00
1.0400000000e-01, -4.0439747405e-02, 4.5487012069e+00
1.0500000000e-01, -3.5487329056e-02, 4.5493565269e+00
1.0600000000e-01, -2.4226830366e-02, 4.5477657501e+00
1.0700000000e-01, -2.5462433732e-02, 4.5470704105e+00
1.0800000000e-01, -3.8063587086e-02, 4.5458197998e+00
1.0900000000e-01, -5.0984896778e-02, 4.5470153836e+00
1.1000000000e-01, -5.7337999104e-02, 4.5473855644e+00
1.1100000000e-01, -4.6292605453e-02, 4.5483610408e+00
1.1200000000e-01, -3.1375321094e-02, 4.5483010114e+00
1.1300000000e-01, -2.9164241387e-02, 4.5497217052e+00
1.1400000000e-01, -3.8688892433e-02, 4.5502969861e+00
1.1500000000e-01, -4.8268570350e-02, 4.5495015977e+00
1.1600000000e-01, -3.4927055465e-02, 4.5496366637e+00
1.1700000000e-01, -2.3426439522e-02, 4.5483660432e+00
1.1800000000e-01, -9.9798733390e-03, 4.5499067956e+00
1.1900000000e-01, -2.0675095995e-02, 4.5497066979e+00
1.2000000000e-01, -3.3166195608e-02, 4.5496466685e+00
1.2100000000e-01, -4.2830915052e-02, 4.5485611385e+00
1.2200000000e-01, -3.3936571795e-02, 4.5488562826e+00
1.2300000000e-01, -2.2601036464e-02, 4.5480208746e+00
1.2400000000e-01, -3.1810533615e-02, 4.5467052322e+00
1.2500000000e-01, -4.0444749848e-02, 4.5453445678e+00
1.2600000000e-01, -5.4791755731e-02, 4.5472454960e+00
1.2700000000e-01, -5.4731726417e-02, 4.5484760969e+00
1.2800000000e-01, -4.1805414283e-02, 4.5497167027e+00
1.2900000000e-01, -2.7533445042e-02, 4.5503019886e+00
1.3000000000e-01, -3.2175711938e-02, 4.5501969373e+00
1.3100000000e-01, -4.3886430478e-02, 4.5497717296e+00
1.3200000000e-01, -4.3821398722e-02, 4.5488462777e+00
1.3300000000e-01, -3.2630934231e-02, 4.5491014023e+00
1.3400000000e-01, -1.8624094457e-02, 4.5485061116e+00
1.3500000000e-01, -1.2461084956e-02, 4.5488512801e+00
1.3600000000e-01, -2.3536493263e-02, 4.5493715342e+00
1.3700000000e-01, -3.8043577315e-02, 4.5501719250e+00
1.3800000000e-01, -4.0364710763e-02, 4.5501919348e+00
1.3900000000e-01, -3.0029663987e-02, 4.5491214121e+00
1.4000000000e-01, -2.0670093552e-02, 4.5485911531e+00
1.4100000000e-01, -3.6307729672e-02, 4.5488762924e+00
1.4200000000e-01, -4.5307124226e-02, 4.5489713388e+00
1.4300000000e-01, -5.7918282466e-02, 4.5482059650e+00
1.4400000000e-01, -5.0059444864e-02, 4.5487862484e+00
1.4500000000e-01, -3.7918516246e-02, 4.5502519641e+00
1.4600000000e-01, -2.8348843214e-02, 4.5497066979e+00
1.4700000000e-01, -3.5327250887e-02, 4.5504220472e+00
1.4800000000e-01, -4.6677793547e-02, 4.5486561849e+00
1.4900000000e-01, -3.7468296396e-02, 4.5481859553e+00
1.5000000000e-01, -2.8779053293e-02, 4.5471204349e+00
1.5100000000e-01, -1.2771236408e-02, 4.5486061604e+00
1.5200000000e-01, -1.3941808018e-02, 4.5490363705e+00
1.5300000000e-01, -2.4692057545e-02, 4.5508322475e+00
1.5400000000e-01, -4.0754901300e-02, 4.5517727067e+00
1.5500000000e-01, -3.6092624632e-02, 4.5508622621e+00
1.5600000000e-01, -2.3886664258e-02, 4.5498267565e+00
1.5700000000e-01, -2.5417411747e-02, 4.5479208258e+00
1.5800000000e-01, -3.8833963274e-02, 4.5486161653e+00
1.5900000000e-01, -5.2350563656e-02, 4.5483910554e+00
1.6000000000e-01, -5.8673651325e-02, 4.5483310261e+00
1.6100000000e-01, -4.7678282102e-02, 4.5479808551e+00
1.6200000000e-01, -3.1605433462e-02, 4.5499168005e+00
1.6300000000e-01, -2.7953650235e-02, 4.5509873232e+00
1.6400000000e-01, -3.9184134268e-02, 4.5518727556e+00
1.6500000000e-01, -4.7713299202e-02, 4.5502969861e+00
1.6600000000e-01, -3.2165707053e-02, 4.5492414707e+00
1.6700000000e-01, -2.2791129290e-02, 4.5493765366e+00
1.6800000000e-01, -9.6146950164e-03, 4.5498517687e+00
1.6900000000e-01, -1.6182902382e-02, 4.5514125308e+00
1.7000000000e-01, -2.9914607803e-02, 4.5519127751e+00
1.7100000000e-01, -4.2020519322e-02, 4.5514125308e+00
1.7200000000e-01, -3.3371295762e-02, 4.5500168493e+00
1.7300000000e-01, -2.0790152179e-02, 4.5495466197e+00
1.7400000000e-01, -3.1690474989e-02, 4.5479308307e+00
1.7500000000e-01, -4.1355194433e-02, 4.5466902249e+00
1.7600000000e-01, -5.6927798796e-02, 4.5470203861e+00
1.7700000000e-01, -5.5001858327e-02, 4.5496216563e+00
1.7800000000e-01, -4.3066029863e-02, 4.5504920814e+00
1.7900000000e-01, -2.8293816344e-02, 4.5516626530e+00
1.8000000000e-01, -3.2760997743e-02, 4.5519227800e+00
1.8100000000e-01, -4.5112028958e-02, 4.5529632881e+00
1.8200000000e-01, -4.2240626804e-02, 4.5514875675e+00
1.8300000000e-01, -2.9079199860e-02, 4.5496016466e+00
1.8400000000e-01, -1.6873239485e-02, 4.5490663852e+00
1.8500000000e-01, -1.1035388765e-02, 4.5504820765e+00
1.8600000000e-01, -1.9924729579e-02, 4.5518327360e+00
1.8700000000e-01, -3.4641916227e-02, 4.5523679974e+00
1.8800000000e-01, -3.7603362351e-02, 4.5521278802e+00
1.8900000000e-01, -2.8954138790e-02, 4.5503870301e+00
1.9000000000e-01, -2.1315408670e-02, 4.5493865415e+00
1.9100000000e-01, -3.7233181585e-02, 4.5480308795e+00
1.9200000000e-01, -4.6442678737e-02, 4.5480759015e+00
1.9300000000e-01, -5.9504056826e-02, 4.5486361751e+00
1.9400000000e-01, -5.1009908992e-02, 4.5516976701e+00
1.9500000000e-01, -3.7903508917e-02, 4.5517126774e+00
1.9600000000e-01, -2.6217802591e-02, 4.5520278313e+00
1.9700000000e-01, -3.6622883566e-02, 4.5521879095e+00
1.9800000000e-01, -4.9063958752e-02, 4.5521078704e+00
