% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-28 T 06:14:27 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -2.5157284723e-02, 4.9999965819e+00
1.0000000000e-03, -3.5212194703e-02, 4.9999965819e+00
2.0000000000e-03, -4.2645824669e-02, 4.9999965819e+00
3.0000000000e-03, -5.4331530995e-02, 4.9999965819e+00
4.0000000000e-03, -4.6097510185e-02, 4.9999965819e+00
5.0000000000e-03, -3.2130689953e-02, 4.9999965819e+00
6.0000000000e-03, -2.3386419980e-02, 4.9999965819e+00
7.0000000000e-03, -3.2330787664e-02, 4.9999965819e+00
8.0000000000e-03, -4.5482209724e-02, 4.9999965819e+00
9.0000000000e-03, -3.3431325075e-02, 4.9999965819e+00
1.0000000000e-02, -2.5332370220e-02, 4.9999965819e+00
1.1000000000e-02, -1.1010376551e-02, 4.9999965819e+00
1.2000000000e-02, -1.5982804671e-02, 4.9999965819e+00
1.3000000000e-02, -2.8478906726e-02, 4.9999965819e+00
1.4000000000e-02, -4.1845433825e-02, 4.9999965819e+00
1.5000000000e-02, -3.7818467390e-02, 4.9999965819e+00
1.6000000000e-02, -2.8118730846e-02, 4.9999965819e+00
1.7000000000e-02, -2.9809556505e-02, 4.9999965819e+00
1.8000000000e-02, -3.8598848463e-02, 4.9999965819e+00
1.9000000000e-02, -5.0134481506e-02, 4.9999965819e+00
2.0000000000e-02, -5.4526626263e-02, 4.9999965819e+00
2.1000000000e-02, -4.2600802684e-02, 4.9999965819e+00
2.2000000000e-02, -2.6813093282e-02, 4.9999965819e+00
2.3000000000e-02, -2.5847621826e-02, 4.9999965819e+00
2.4000000000e-02, -3.6342746771e-02, 4.9999965819e+00
2.5000000000e-02, -4.3811393836e-02, 4.9999965819e+00
2.6000000000e-02, -3.3486351946e-02, 4.9999965819e+00
2.7000000000e-02, -2.3936688685e-02, 4.9999965819e+00
2.8000000000e-02, -1.1530630600e-02, 4.9999965819e+00
2.9000000000e-02, -2.1755623635e-02, 4.9999965819e+00
3.0000000000e-02, -3.6232693030e-02, 4.9999965819e+00
3.1000000000e-02, -4.1570299472e-02, 4.9999965819e+00
3.2000000000e-02, -3.4191696377e-02, 4.9999965819e+00
3.3000000000e-02, -2.3266361353e-02, 4.9999965819e+00
3.4000000000e-02, -3.0760020632e-02, 4.9999965819e+00
3.5000000000e-02, -3.7188159600e-02, 4.9999965819e+00
3.6000000000e-02, -5.0224525476e-02, 4.9999965819e+00
3.7000000000e-02, -4.9154002721e-02, 4.9999965819e+00
3.8000000000e-02, -3.7088110745e-02, 4.9999965819e+00
3.9000000000e-02, -2.3196327154e-02, 4.9999965819e+00
4.0000000000e-02, -2.7263313132e-02, 4.9999965819e+00
4.1000000000e-02, -3.9009048771e-02, 4.9999965819e+00
4.2000000000e-02, -3.8118613957e-02, 4.9999965819e+00
4.3000000000e-02, -2.8684006880e-02, 4.9999965819e+00
4.4000000000e-02, -1.4532096266e-02, 4.9999965819e+00
4.5000000000e-02, -1.3371529541e-02, 4.9999965819e+00
4.6000000000e-02, -2.7413386415e-02, 4.9999965819e+00
4.7000000000e-02, -4.1975497337e-02, 4.9999965819e+00
4.8000000000e-02, -4.1000020996e-02, 4.9999965819e+00
4.9000000000e-02, -3.1915584914e-02, 4.9999965819e+00
5.0000000000e-02, -2.5582492359e-02, 4.9999965819e+00
5.1000000000e-02, -3.5952556234e-02, 4.9999965819e+00
5.2000000000e-02, -4.5147046058e-02, 4.9999965819e+00
5.3000000000e-02, -5.4391560308e-02, 4.9999965819e+00
5.4000000000e-02, -4.4756855521e-02, 4.9999965819e+00
5.5000000000e-02, -2.9759532077e-02, 4.9999965819e+00
5.6000000000e-02, -2.3586517691e-02, 4.9999965819e+00
5.7000000000e-02, -3.1305286895e-02, 4.9999965819e+00
5.8000000000e-02, -4.2280646347e-02, 4.9999965819e+00
5.9000000000e-02, -3.3516366602e-02, 4.9999965819e+00
6.0000000000e-02, -2.8513923826e-02, 4.9999965819e+00
6.1000000000e-02, -1.4076873973e-02, 4.9999965819e+00
6.2000000000e-02, -1.9214382704e-02, 4.9999965819e+00
6.3000000000e-02, -3.2375809649e-02, 4.9999965819e+00
6.4000000000e-02, -4.5137041172e-02, 4.9999965819e+00
6.5000000000e-02, -3.9124104955e-02, 4.9999965819e+00
6.6000000000e-02, -2.7533445042e-02, 4.9999965819e+00
6.7000000000e-02, -2.8969146118e-02, 4.9999965819e+00
6.8000000000e-02, -3.7063098531e-02, 4.9999965819e+00
6.9000000000e-02, -4.7248072024e-02, 4.9999965819e+00
7.0000000000e-02, -5.1014911434e-02, 4.9999965819e+00
7.1000000000e-02, -3.8003557773e-02, 4.9999965819e+00
7.2000000000e-02, -2.5302355563e-02, 4.9999965819e+00
7.3000000000e-02, -2.5467436175e-02, 4.9999965819e+00
7.4000000000e-02, -3.4081642636e-02, 4.9999965819e+00
7.5000000000e-02, -4.1690358099e-02, 4.9999965819e+00
7.6000000000e-02, -3.4291745233e-02, 4.9999965819e+00
7.7000000000e-02, -2.5037226096e-02, 4.9999965819e+00
7.8000000000e-02, -1.5042345429e-02, 4.9999965819e+00
7.9000000000e-02, -2.4872145485e-02, 4.9999965819e+00
8.0000000000e-02, -3.8723909533e-02, 4.9999965819e+00
8.1000000000e-02, -4.4956953232e-02, 4.9999965819e+00
8.2000000000e-02, -3.5037109206e-02, 4.9999965819e+00
8.3000000000e-02, -2.2465970509e-02, 4.9999965819e+00
8.4000000000e-02, -2.8598965353e-02, 4.9999965819e+00
8.5000000000e-02, -3.4817001724e-02, 4.9999965819e+00
8.6000000000e-02, -4.8973914782e-02, 4.9999965819e+00
8.7000000000e-02, -4.7883382256e-02, 4.9999965819e+00
8.8000000000e-02, -3.4972077450e-02, 4.9999965819e+00
8.9000000000e-02, -2.1570533252e-02, 4.9999965819e+00
9.0000000000e-02, -2.7808579394e-02, 4.9999965819e+00
9.1000000000e-02, -4.0134598396e-02, 4.9999965819e+00
9.2000000000e-02, -4.0559806032e-02, 4.9999965819e+00
9.3000000000e-02, -3.0334812996e-02, 4.9999965819e+00
9.4000000000e-02, -1.7928754911e-02, 4.9999965819e+00
9.5000000000e-02, -1.4467064510e-02, 4.9999965819e+00
9.6000000000e-02, -2.4496962276e-02, 4.9999965819e+00
9.7000000000e-02, -3.9994529998e-02, 4.9999965819e+00
9.8000000000e-02, -3.9049068313e-02, 4.9999965819e+00
9.9000000000e-02, -2.8363850543e-02, 4.9999965819e+00
1.0000000000e-01, -2.0595056911e-02, 4.9999965819e+00
1.0100000000e-01, -3.1915584914e-02, 4.9999965819e+00
1.0200000000e-01, -4.2200607262e-02, 4.9999965819e+00
1.0300000000e-01, -5.3696220763e-02, 4.9999965819e+00
1.0400000000e-01, -4.4176572159e-02, 4.9999965819e+00
1.0500000000e-01, -3.1975614227e-02, 4.9999965819e+00
1.0600000000e-01, -2.4206820595e-02, 4.9999965819e+00
1.0700000000e-01, -3.2760997743e-02, 4.9999965819e+00
1.0800000000e-01, -4.4781867735e-02, 4.9999965819e+00
1.0900000000e-01, -3.4161681720e-02, 4.9999965819e+00
1.1000000000e-01, -2.6147768393e-02, 4.9999965819e+00
1.1100000000e-01, -1.2866282821e-02, 4.9999965819e+00
1.1200000000e-01, -1.7408500862e-02, 4.9999965819e+00
1.1300000000e-01, -2.9424368411e-02, 4.9999965819e+00
1.1400000000e-01, -4.2720861311e-02, 4.9999965819e+00
1.1500000000e-01, -3.5552360812e-02, 4.9999965819e+00
1.1600000000e-01, -2.4046742426e-02, 4.9999965819e+00
1.1700000000e-01, -2.5517460603e-02, 4.9999965819e+00
1.1800000000e-01, -3.4156679278e-02, 4.9999965819e+00
1.1900000000e-01, -4.8213543480e-02, 4.9999965819e+00
1.2000000000e-01, -5.3846294046e-02, 4.9999965819e+00
1.2100000000e-01, -3.9824446943e-02, 4.9999965819e+00
1.2200000000e-01, -2.5532467931e-02, 4.9999965819e+00
1.2300000000e-01, -2.5872634040e-02, 4.9999965819e+00
1.2400000000e-01, -3.5762463409e-02, 4.9999965819e+00
