% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-28 T 06:10:30 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -3.3306264006e-02, 4.9999965819e+00
1.0000000000e-03, -2.1255379357e-02, 4.9999965819e+00
2.0000000000e-03, -2.8428882299e-02, 4.9999965819e+00
3.0000000000e-03, -3.7863489375e-02, 4.9999965819e+00
4.0000000000e-03, -5.2265522128e-02, 4.9999965819e+00
5.0000000000e-03, -5.5392048864e-02, 4.9999965819e+00
6.0000000000e-03, -4.2555780699e-02, 4.9999965819e+00
7.0000000000e-03, -2.8548940925e-02, 4.9999965819e+00
8.0000000000e-03, -3.0835057274e-02, 4.9999965819e+00
9.0000000000e-03, -4.1025033210e-02, 4.9999965819e+00
1.0000000000e-02, -4.2465736729e-02, 4.9999965819e+00
1.1000000000e-02, -3.0730005976e-02, 4.9999965819e+00
1.2000000000e-02, -1.8669116442e-02, 4.9999965819e+00
1.3000000000e-02, -1.0194978378e-02, 4.9999965819e+00
1.4000000000e-02, -2.1015262104e-02, 4.9999965819e+00
1.5000000000e-02, -3.2991110111e-02, 4.9999965819e+00
1.6000000000e-02, -3.9859464043e-02, 4.9999965819e+00
1.7000000000e-02, -3.0940108572e-02, 4.9999965819e+00
1.8000000000e-02, -2.2470972952e-02, 4.9999965819e+00
1.9000000000e-02, -3.5197187375e-02, 4.9999965819e+00
2.0000000000e-02, -4.3671325438e-02, 4.9999965819e+00
2.1000000000e-02, -5.9989293775e-02, 4.9999965819e+00
2.2000000000e-02, -5.4606665348e-02, 4.9999965819e+00
2.3000000000e-02, -4.0739893971e-02, 4.9999965819e+00
2.4000000000e-02, -2.8523928711e-02, 4.9999965819e+00
2.5000000000e-02, -3.3681447214e-02, 4.9999965819e+00
