% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-28 T 06:10:33 +1000
% Time (s), Input 1 (V), Input 2 (V)
0.0000000000e+00, -5.6317500777e-02, 4.9999965819e+00
1.0000000000e-03, -4.5272107127e-02, 4.9999965819e+00
2.0000000000e-03, -3.0985130557e-02, 4.9999965819e+00
3.0000000000e-03, -2.7218291147e-02, 4.9999965819e+00
4.0000000000e-03, -3.5267221574e-02, 4.9999965819e+00
5.0000000000e-03, -4.2390700088e-02, 4.9999965819e+00
6.0000000000e-03, -2.9214265815e-02, 4.9999965819e+00
7.0000000000e-03, -1.9209380262e-02, 4.9999965819e+00
8.0000000000e-03, -7.2385346975e-03, 4.9999965819e+00
9.0000000000e-03, -1.7413503305e-02, 4.9999965819e+00
1.0000000000e-02, -2.9604456351e-02, 4.9999965819e+00
1.1000000000e-02, -3.8914002358e-02, 4.9999965819e+00
1.2000000000e-02, -3.2190719267e-02, 4.9999965819e+00
1.3000000000e-02, -2.2601036464e-02, 4.9999965819e+00
1.4000000000e-02, -3.5027104321e-02, 4.9999965819e+00
1.5000000000e-02, -4.3276132459e-02, 4.9999965819e+00
1.6000000000e-02, -5.8988805220e-02, 4.9999965819e+00
1.7000000000e-02, -5.5447075734e-02, 4.9999965819e+00
1.8000000000e-02, -4.3386186200e-02, 4.9999965819e+00
1.9000000000e-02, -2.8338838329e-02, 4.9999965819e+00
2.0000000000e-02, -3.0609947349e-02, 4.9999965819e+00
2.1000000000e-02, -4.2610807570e-02, 4.9999965819e+00
2.2000000000e-02, -3.9199141596e-02, 4.9999965819e+00
2.3000000000e-02, -2.8118730846e-02, 4.9999965819e+00
2.4000000000e-02, -1.3636659009e-02, 4.9999965819e+00
2.5000000000e-02, -8.1189646262e-03, 4.9999965819e+00
2.6000000000e-02, -1.9304426674e-02, 4.9999965819e+00
2.7000000000e-02, -3.5777470737e-02, 4.9999965819e+00
2.8000000000e-02, -4.0619835345e-02, 4.9999965819e+00
2.9000000000e-02, -3.0760020632e-02, 4.9999965819e+00
3.0000000000e-02, -2.4496962276e-02, 4.9999965819e+00
3.1000000000e-02, -3.7573347694e-02, 4.9999965819e+00
3.2000000000e-02, -4.8703782872e-02, 4.9999965819e+00
