% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+04 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-29 T 07:58:30 +1000
% Time (s), Input 1 (V), Input 2 (V)
9.1000000000e-03, -1.8579580532e-02, 4.8761037392e-01
9.2000000000e-03, -1.8511187760e-02, 4.8778018341e-01
9.3000000000e-03, -1.9943527821e-02, 4.8757539591e-01
9.4000000000e-03, -2.1971080408e-02, 4.8868277259e-01
9.5000000000e-03, -2.3038203065e-02, 4.8733289468e-01
9.6000000000e-03, -2.4074646678e-02, 4.8702180527e-01
9.7000000000e-03, -2.4930337963e-02, 4.8724163918e-01
9.8000000000e-03, -2.5448950586e-02, 4.8681584532e-01
9.9000000000e-03, -2.6692135779e-02, 4.8724242081e-01
1.0000000000e-02, -2.7707279928e-02, 4.8739249409e-01
1.0100000000e-02, -2.9725257528e-02, 4.8752849801e-01
1.0200000000e-02, -3.1255496957e-02, 4.8765238663e-01
1.0300000000e-02, -3.2593064176e-02, 4.8776650485e-01
1.0400000000e-02, -3.3664094991e-02, 4.8868707157e-01
1.0500000000e-02, -3.4776943100e-02, 4.8761994891e-01
1.0600000000e-02, -3.6896923635e-02, 4.8690514674e-01
1.0700000000e-02, -3.9502883669e-02, 4.8709176130e-01
1.0800000000e-02, -4.1383880316e-02, 4.8664544961e-01
1.0900000000e-02, -4.2548902341e-02, 4.8678829280e-01
1.1000000000e-02, -4.3869273662e-02, 4.8643128253e-01
1.1100000000e-02, -4.3547632225e-02, 4.8700714967e-01
1.1200000000e-02, -4.3307475890e-02, 4.8673299236e-01
1.1300000000e-02, -4.1938838811e-02, 4.8681858103e-01
1.1400000000e-02, -4.0543821664e-02, 4.8724808764e-01
1.1500000000e-02, -3.9775477718e-02, 4.8766215702e-01
1.1600000000e-02, -3.8113533351e-02, 4.8767720343e-01
1.1700000000e-02, -3.7561310566e-02, 4.8720275300e-01
1.1800000000e-02, -3.5854422377e-02, 4.8725316824e-01
1.1900000000e-02, -3.3771373939e-02, 4.8665639245e-01
1.2000000000e-02, -3.2264388053e-02, 4.8729420391e-01
1.2100000000e-02, -3.2699366085e-02, 4.8695438953e-01
1.2200000000e-02, -3.3534539539e-02, 4.8729733044e-01
1.2300000000e-02, -3.3111090574e-02, 4.8647857125e-01
1.2400000000e-02, -3.3253542949e-02, 4.8694403291e-01
1.2500000000e-02, -3.2876796477e-02, 4.8673494644e-01
1.2600000000e-02, -3.2378310871e-02, 4.8713963624e-01
1.2700000000e-02, -3.1700049977e-02, 4.8708296795e-01
1.2800000000e-02, -3.0557304455e-02, 4.8796171737e-01
1.2900000000e-02, -2.9327407001e-02, 4.8728541055e-01
1.3000000000e-02, -2.8033611156e-02, 4.8771139982e-01
1.3100000000e-02, -2.6697216385e-02, 4.8709156589e-01
1.3200000000e-02, -2.5036639872e-02, 4.8722659277e-01
1.3300000000e-02, -2.3126918261e-02, 4.8680373003e-01
1.3400000000e-02, -2.1411627531e-02, 4.8696904513e-01
1.3500000000e-02, -1.8579580532e-02, 4.8726196160e-01
1.3600000000e-02, -1.6339033311e-02, 4.8837285563e-01
1.3700000000e-02, -1.3960918913e-02, 4.8854520542e-01
1.3800000000e-02, -1.2291158228e-02, 4.8796777501e-01
1.3900000000e-02, -1.1423742467e-02, 4.8693953853e-01
1.4000000000e-02, -1.2405081046e-02, 4.8872908427e-01
1.4100000000e-02, -1.3462628714e-02, 4.8793279699e-01
1.4200000000e-02, -1.4086761614e-02, 4.8784916240e-01
1.4300000000e-02, -1.5027455345e-02, 4.8747905980e-01
1.4400000000e-02, -1.5606449015e-02, 4.8758594793e-01
1.4500000000e-02, -1.6359160327e-02, 4.8755331481e-01
1.4600000000e-02, -1.6271812986e-02, 4.8802151219e-01
1.4700000000e-02, -1.4810357145e-02, 4.8835644137e-01
1.4800000000e-02, -1.6067025485e-02, 4.8736728647e-01
1.4900000000e-02, -1.8923107657e-02, 4.8745561085e-01
1.5000000000e-02, -2.1531412586e-02, 4.8780265532e-01
1.5100000000e-02, -2.4018564604e-02, 4.8684671977e-01
1.5200000000e-02, -2.6489106949e-02, 4.8708316335e-01
1.5300000000e-02, -2.7919102114e-02, 4.8705072564e-01
1.5400000000e-02, -2.8620811959e-02, 4.8785561087e-01
1.5500000000e-02, -2.9451491031e-02, 4.8838458011e-01
1.5600000000e-02, -3.0255399217e-02, 4.8822278235e-01
1.5700000000e-02, -3.0985638618e-02, 4.8858682731e-01
1.5800000000e-02, -3.1548218022e-02, 4.8755077451e-01
1.5900000000e-02, -3.3752810187e-02, 4.8832498069e-01
1.6000000000e-02, -3.5393845907e-02, 4.8798555713e-01
1.6100000000e-02, -3.7301613439e-02, 4.8719337342e-01
1.6200000000e-02, -4.0016415685e-02, 4.8699249408e-01
1.6300000000e-02, -4.2400001505e-02, 4.8691726203e-01
