% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+04 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-29 T 08:02:25 +1000
% Time (s), Input 1 (V), Input 2 (V)
9.1000000000e-03, -3.5517929937e-02, 2.4861226090e+00
9.2000000000e-03, -3.4502981195e-02, 2.4866918323e+00
9.3000000000e-03, -3.3351442317e-02, 2.4868487448e+00
9.4000000000e-03, -3.1770983052e-02, 2.4878275431e+00
9.5000000000e-03, -2.9975965890e-02, 2.4880034102e+00
9.6000000000e-03, -2.7634392774e-02, 2.4893427361e+00
9.7000000000e-03, -2.4590718997e-02, 2.4891187986e+00
9.8000000000e-03, -2.2487934359e-02, 2.4897825994e+00
9.9000000000e-03, -2.1763948012e-02, 2.4889972549e+00
1.0000000000e-02, -2.1896434583e-02, 2.4888815734e+00
1.0100000000e-02, -2.0892233277e-02, 2.4893437132e+00
1.0200000000e-02, -2.0038886886e-02, 2.4885261264e+00
1.0300000000e-02, -1.9796971880e-02, 2.4884665270e+00
1.0400000000e-02, -2.0044162900e-02, 2.4879885592e+00
1.0500000000e-02, -2.0421300187e-02, 2.4881452764e+00
1.0600000000e-02, -2.1160332944e-02, 2.4886439574e+00
1.0700000000e-02, -2.1308256741e-02, 2.4888761020e+00
1.0800000000e-02, -2.2399609979e-02, 2.4897659897e+00
1.0900000000e-02, -2.1251197628e-02, 2.4895266150e+00
1.1000000000e-02, -2.1870836145e-02, 2.4901702887e+00
1.1100000000e-02, -2.3780948572e-02, 2.4893431269e+00
1.1200000000e-02, -2.5333073689e-02, 2.4890955451e+00
1.1300000000e-02, -2.6568637973e-02, 2.4888315490e+00
1.1400000000e-02, -2.6599317016e-02, 2.4878470839e+00
1.1500000000e-02, -2.7684221793e-02, 2.4874351640e+00
1.1600000000e-02, -2.8596385968e-02, 2.4871084420e+00
1.1700000000e-02, -2.9550562846e-02, 2.4869517248e+00
1.1800000000e-02, -3.1495848700e-02, 2.4867936398e+00
1.1900000000e-02, -3.2463899540e-02, 2.4873390233e+00
1.2000000000e-02, -3.2998535612e-02, 2.4877468396e+00
1.2100000000e-02, -3.5010260158e-02, 2.4876413194e+00
1.2200000000e-02, -3.6887348647e-02, 2.4880819642e+00
1.2300000000e-02, -3.8962385359e-02, 2.4875318909e+00
1.2400000000e-02, -4.0975282353e-02, 2.4870097610e+00
1.2500000000e-02, -4.2891647834e-02, 2.4862791307e+00
1.2600000000e-02, -4.3403225771e-02, 2.4858382905e+00
1.2700000000e-02, -4.4239962488e-02, 2.4846066343e+00
1.2800000000e-02, -4.5343431018e-02, 2.4844571473e+00
1.2900000000e-02, -4.4685492548e-02, 2.4845990134e+00
1.3000000000e-02, -4.3111090929e-02, 2.4841722425e+00
1.3100000000e-02, -4.0887348789e-02, 2.4844587105e+00
1.3200000000e-02, -3.8935614474e-02, 2.4845761507e+00
1.3300000000e-02, -3.7604495717e-02, 2.4851442015e+00
1.3400000000e-02, -3.6059209878e-02, 2.4853806451e+00
1.3500000000e-02, -3.5033318293e-02, 2.4847768346e+00
1.3600000000e-02, -3.3632634315e-02, 2.4838504057e+00
1.3700000000e-02, -3.1818271769e-02, 2.4833288619e+00
1.3800000000e-02, -3.2595799887e-02, 2.4826549000e+00
1.3900000000e-02, -3.3355741291e-02, 2.4822867515e+00
1.4000000000e-02, -3.4243674884e-02, 2.4812864584e+00
1.4100000000e-02, -3.4484808259e-02, 2.4808299855e+00
1.4200000000e-02, -3.4526039330e-02, 2.4812747339e+00
1.4300000000e-02, -3.3532976276e-02, 2.4814248072e+00
1.4400000000e-02, -3.3204690968e-02, 2.4814271521e+00
1.4500000000e-02, -3.3371373925e-02, 2.4817685297e+00
1.4600000000e-02, -3.2115487217e-02, 2.4821482073e+00
1.4700000000e-02, -2.9722521817e-02, 2.4818488424e+00
1.4800000000e-02, -2.7930240366e-02, 2.4819899269e+00
1.4900000000e-02, -2.7468686857e-02, 2.4815570983e+00
1.5000000000e-02, -2.5437226110e-02, 2.4810085883e+00
1.5100000000e-02, -2.3360821542e-02, 2.4805724378e+00
1.5200000000e-02, -2.1217001241e-02, 2.4804178701e+00
1.5300000000e-02, -1.8939521923e-02, 2.4806166000e+00
1.5400000000e-02, -1.6680215541e-02, 2.4807273963e+00
1.5500000000e-02, -1.4612799737e-02, 2.4805145971e+00
1.5600000000e-02, -1.4403713262e-02, 2.4809825990e+00
1.5700000000e-02, -1.4403517854e-02, 2.4815740988e+00
1.5800000000e-02, -1.4078359073e-02, 2.4816036054e+00
1.5900000000e-02, -1.4607719131e-02, 2.4815178213e+00
1.6000000000e-02, -1.5774304419e-02, 2.4819272009e+00
1.6100000000e-02, -1.5724475399e-02, 2.4813536787e+00
1.6200000000e-02, -1.5963459287e-02, 2.4810404398e+00
1.6300000000e-02, -1.5400098250e-02, 2.4804307671e+00
1.6400000000e-02, -1.4779091878e-02, 2.4802607622e+00
1.6500000000e-02, -1.5991598027e-02, 2.4799318906e+00
1.6600000000e-02, -1.8593259087e-02, 2.4802568540e+00
1.6700000000e-02, -2.1115779938e-02, 2.4804678946e+00
1.6800000000e-02, -2.3425892380e-02, 2.4807143040e+00
1.6900000000e-02, -2.4906889013e-02, 2.4810810846e+00
1.7000000000e-02, -2.5536884150e-02, 2.4810599806e+00
1.7100000000e-02, -2.6113142109e-02, 2.4814761994e+00
1.7200000000e-02, -2.5456180679e-02, 2.4818547046e+00
1.7300000000e-02, -2.7398144597e-02, 2.4819078555e+00
1.7400000000e-02, -2.8475037650e-02, 2.4813855302e+00
1.7500000000e-02, -2.8935614119e-02, 2.4808878262e+00
1.7600000000e-02, -2.9887250694e-02, 2.4808254911e+00
1.7700000000e-02, -3.1488227791e-02, 2.4802130826e+00
1.7800000000e-02, -3.3436053947e-02, 2.4804000880e+00
1.7900000000e-02, -3.5759844943e-02, 2.4803422473e+00
1.8000000000e-02, -3.9150758595e-02, 2.4808432732e+00
